,ls_ret,cumulative_ret,RF,ls_sub_rf
73,-0.003896157904528068,0.996103842095472,0.0104,-0.014296157904528067
74,0.007732726607902772,1.0038064407794778,0.0107,-0.0029672733920972274
75,-0.01322872033575552,0.9905273661031759,0.0121,-0.02532872033575552
76,0.026430389232700673,1.0167073899349246,0.0108,0.015630389232700673
77,0.013820371826877816,1.0307586641029598,0.0115,0.002320371826877816
78,-0.025991169578628612,1.0039680408696192,0.0135,-0.03949116957862861
79,-0.015995818664086985,0.9879087501433301,0.0124,-0.028395818664086983
80,-0.01191157683015169,0.9761411991648188,0.0128,-0.02471157683015169
81,-0.000974199203997772,0.975190243185603,0.0124,-0.013374199203997772
82,0.02438966407337121,0.998974805624529,0.0121,0.01228966407337121
83,-0.02121296370663029,0.9777835893289778,0.0107,-0.03191296370663029
84,-0.009740892930754586,0.9682591040758753,0.0087,-0.018440892930754585
85,-0.003672016920178281,0.964703640262592,0.008,-0.011672016920178281
86,-0.012447775834191356,0.9526952256021749,0.0092,-0.021647775834191356
87,-0.023448278392464206,0.9303561627290836,0.0098,-0.033248278392464206
88,0.018626455711223677,0.9476854005898209,0.0113,0.007326455711223678
89,0.0019985883885506282,0.9495794336274387,0.0106,-0.008601411611449372
90,-0.022959969620512544,0.9277771186790892,0.0096,-0.032559969620512545
91,-0.0001032680057797622,0.9276813089862351,0.0105,-0.010603268005779763
92,-0.023498631935256892,0.9058820673531502,0.0076,-0.03109863193525689
93,0.013355381571564746,0.9179804680214895,0.0051,0.008255381571564746
94,0.04656039259318158,0.9607219990054426,0.0059,0.04066039259318158
95,0.01971724805447233,0.9796647929712214,0.0063,0.013417248054472329
96,-0.008353709370964314,0.9714809580097739,0.0067,-0.015053709370964313
97,-0.004146663626607754,0.9674525532572527,0.0069,-0.011046663626607754
98,-0.0009718756191432337,0.966512309708064,0.0062,-0.0071718756191432335
99,-0.009078765438532387,0.9577375711547703,0.0063,-0.015378765438532387
100,-0.00019072105702622189,0.9575549104328459,0.0070999999999999,-0.007290721057026122
101,0.011721567004919588,0.9687789544763743,0.0069,0.004821567004919588
102,0.001999810780097481,0.9707163290730678,0.0067,-0.004700189219902519
103,-0.006562190905150738,0.9643463032069433,0.0074,-0.013962190905150738
104,-0.03355063267310654,0.9319918746183788,0.0076,-0.04115063267310654
105,-0.002697939447312756,0.929477416975271,0.0076,-0.010297939447312755
106,-0.05049939737142205,0.8825393675476738,0.0076,-0.05809939737142205
107,0.01247142706612931,0.8935458929030324,0.0069999999999999,0.00547142706612941
108,-0.023505763846258503,0.8725424141586596,0.0073,-0.030805763846258504
109,-0.031907762525099005,0.8447015380146086,0.0076,-0.03950776252509901
110,-0.015575275309138777,0.8315450790059781,0.0070999999999999,-0.022675275309138675
111,-0.00932845162826583,0.8237880509597484,0.0073,-0.01662845162826583
112,-0.010755102566786499,0.8149281259783832,0.0081,-0.018855102566786498
113,0.007389744924892548,0.8209502369614841,0.0078,-0.0004102550751074515
114,0.013848609777624272,0.8323192564400118,0.0075,0.006348609777624272
115,0.0008601402093103422,0.8330351676994591,0.0081999999999999,-0.007339859790689558
116,0.008307390413282323,0.8399555160655326,0.0083,7.390413282322775e-06
117,-0.003407978847310058,0.8370929654341,0.0086,-0.012007978847310058
118,-0.011938639937971632,0.8270992139251733,0.01,-0.021938639937971634
119,-0.0006664716530331337,0.8265479757448462,0.0073,-0.007966471653033134
120,0.018933036422822624,0.8421970386748336,0.0064,0.012533036422822625
121,0.03461224560011576,0.8713473694211371,0.0065,0.028112245600115764
122,0.005758127545206146,0.8763646987104439,0.0058,-4.187245479385371e-05
123,-0.014780336220532521,0.8634117338116978,0.0062,-0.02098033622053252
124,0.013438824489204417,0.8750149725643129,0.0072,0.006238824489204417
125,0.0009837811569194457,0.8758757958063442,0.0066,-0.005616218843080554
126,0.008268995728160776,0.8831184090202663,0.0055,0.0027689957281607763
127,0.008957245665377814,0.8910287175614785,0.0062,0.0027572456653778147
128,-0.007044355532395582,0.884751994485401,0.0055,-0.012544355532395583
129,-0.033463757495201536,0.8551448682985456,0.006,-0.039463757495201535
130,0.007191799859107589,0.8612948990418917,0.0065,0.0006917998591075896
131,0.01560377844198492,0.8747343538197532,0.0060999999999999,0.009503778441985019
132,0.01242942453181902,0.8856067984559453,0.0065,0.005929424531819021
133,0.0016066268379863816,0.8870296381062478,0.0056,-0.003993373162013618
134,0.014515265162456145,0.8999051085103175,0.0053,0.009215265162456146
135,0.003899242727331713,0.9034140569599649,0.006,-0.0021007572726682872
136,0.03290335942033885,0.9331394143815052,0.0052,0.027703359420338847
137,0.007186302113130205,0.9398452361269201,0.0049,0.0022863021131302053
138,0.009849160705925892,0.949101922896233,0.0052,0.004649160705925892
139,-0.009924076463566384,0.9396829628416928,0.0052,-0.015124076463566383
140,-0.04282491027631541,0.8994411242698152,0.0046,-0.04742491027631541
141,-0.01968157116051527,0.8817387097778049,0.0045,-0.02418157116051527
142,-0.01767203759349195,0.8661565901509743,0.0046,-0.02227203759349195
143,-0.02485592567494936,0.8446274663233142,0.0039,-0.028755925674949362
144,-0.01210814593925034,0.8344005936967722,0.0049,-0.01700814593925034
145,0.008574888907335904,0.8415554860919371,0.0042,0.004374888907335904
146,0.02240287618372047,0.8604087494485855,0.0043,0.018102876183720473
147,0.012899978280377878,0.8715080036287193,0.0046999999999999,0.008199978280377978
148,-0.020347820887929045,0.8537747148684854,0.0044,-0.024747820887929046
149,-0.0032831735826524275,0.8509716242790927,0.0038,-0.007083173582652428
