,ls_ret,cumulative_ret,RF,ls_sub_rf
73,-0.008246439700014895,0.9917535602999851,0.0104,-0.018646439700014894
74,-0.004326873479669202,0.9874623681215555,0.0107,-0.015026873479669202
75,0.0705094689480029,1.0570878153039436,0.0121,0.058409468948002904
76,0.058153274084907,1.1185609327591295,0.0108,0.047353274084907
77,0.042630417548934936,1.1662456523765774,0.0115,0.031130417548934936
78,-0.0611967141041532,1.0948752506128765,0.0135,-0.0746967141041532
79,-0.06546012964798137,1.0232045747593916,0.0124,-0.07786012964798136
80,-0.04645259812652991,0.9756740638468667,0.0128,-0.05925259812652991
81,0.00384264482735569,0.9794232327414929,0.0124,-0.00855735517264431
82,0.002781960960345886,0.9821479499386355,0.0121,-0.009318039039654114
83,-0.017264735026548433,0.9651914258260772,0.0107,-0.027964735026548435
84,0.013551437711742293,0.978271157313067,0.0087,0.004851437711742294
85,0.015283384685883826,0.9932224517373873,0.008,0.007283384685883826
86,0.002404743102924767,0.9956108965778729,0.0092,-0.006795256897075233
87,-0.0026051828251950713,0.9930171481695312,0.0098,-0.012405182825195071
88,-0.021220114849640197,0.9719452102377116,0.0113,-0.032520114849640194
89,-0.04123866427418531,0.9318634880198162,0.0106,-0.051838664274185306
90,-0.010480428968245782,0.9220971589255228,0.0096,-0.02008042896824578
91,0.027131622444117796,0.9471151508982838,0.0105,0.016631622444117797
92,0.03552448813854982,0.9807609318422108,0.0076,0.027924488138549818
93,-0.01676935401859358,0.964314204568543,0.0051,-0.02186935401859358
94,0.07081023969243624,1.0325975245328625,0.0059,0.06491023969243624
95,0.08378702040129112,1.11911579438722,0.0063,0.07748702040129112
96,-0.0310621728918902,1.0843536260959192,0.0067,-0.0377621728918902
97,0.07055297972040314,1.1608580054876103,0.0069,0.06365297972040314
98,0.02325729519261273,1.1878564227979431,0.0062,0.017057295192612728
99,-0.020986118239495116,1.1629279274575617,0.0063,-0.027286118239495116
100,0.0022302659766362948,1.1655215660474503,0.0070999999999999,-0.004869734023363605
101,0.011664657878950623,1.1791169763659324,0.0069,0.004764657878950623
102,0.00470707773889318,1.1846671716369355,0.0067,-0.0019929222611068205
103,-0.054420848179436404,1.1201965793461195,0.0074,-0.06182084817943641
104,-0.017239477068098995,1.100884976104719,0.0076,-0.024839477068098994
105,-0.025100589493068582,1.0732521142404279,0.0076,-0.03270058949306858
106,-0.1038654147365162,0.961778338278003,0.0076,-0.1114654147365162
107,0.060469029104767216,1.0199361406076701,0.0069999999999999,0.053469029104767314
108,0.0009295332512189586,1.0208842051644849,0.0073,-0.0063704667487810415
109,-0.03732083126188331,0.9827839580056192,0.0076,-0.044920831261883315
110,-0.004543719151498468,0.9783184637138437,0.0070999999999999,-0.011643719151498368
111,-0.014566307763964156,0.9640679758802192,0.0073,-0.021866307763964157
112,0.017602492354922287,0.9810379750552761,0.0081,0.009502492354922287
113,-0.035655925721735385,0.9460581578865035,0.0078,-0.043455925721735386
114,0.00013097954356591085,0.9461820721522104,0.0075,-0.007369020456434089
115,-0.04410881770612687,0.9044470996148432,0.0081999999999999,-0.05230881770612677
116,0.06284438142624413,0.9612865181228984,0.0083,0.054544381426244126
117,-0.04632529226853332,0.9167546392170545,0.0086,-0.05492529226853332
118,-0.030035859693844723,0.8892191254998498,0.01,-0.040035859693844725
119,-0.040283009950468636,0.8533987026191924,0.0073,-0.04758300995046864
120,-0.0013370581045819493,0.8522576589674157,0.0064,-0.00773705810458195
121,0.08325236549779298,0.9232101250900644,0.0065,0.07675236549779298
122,-0.017068727906527255,0.9074521026643511,0.0058,-0.022868727906527254
123,-0.05796236065798437,0.8548540366098737,0.0062,-0.06416236065798438
124,-0.05943448355209907,0.8040462284315387,0.0072,-0.06663448355209907
125,-0.011052284314600966,0.7951596809128308,0.0066,-0.017652284314600968
126,-0.021719064301578318,0.7778895566730626,0.0055,-0.02721906430157832
127,0.03865348594676015,0.8079576997200564,0.0062,0.032453485946760154
128,-0.047431029351927056,0.7696354343495189,0.0055,-0.052931029351927054
129,-0.059565119291220214,0.7237920078917397,0.006,-0.06556511929122022
130,-0.024256655641516536,0.706235234400228,0.0065,-0.030756655641516535
131,0.051013826870062534,0.7422629963774593,0.0060999999999999,0.04491382687006264
132,0.002061027697420073,0.7437928209717632,0.0065,-0.004438972302579927
133,-0.012539889433816682,0.7344657412351108,0.0056,-0.018139889433816683
134,0.008140383278629898,0.7404445738737876,0.0053,0.002840383278629898
135,-0.041894132161461206,0.7094242910376823,0.006,-0.047894132161461204
136,0.05848570973547691,0.7509154742026087,0.0052,0.053285709735476916
137,-0.032201912434213165,0.7267345598568407,0.0049,-0.037101912434213166
138,-0.0825362071070269,0.6667526457126625,0.0052,-0.0877362071070269
139,-0.05036383152591761,0.6331724277945301,0.0052,-0.05556383152591761
140,0.007445821532054815,0.637886916690906,0.0046,0.0028458215320548153
141,-0.013585829527714144,0.6292206937827842,0.0045,-0.018085829527714144
142,0.019935276673063107,0.6417643824017608,0.0046,0.015335276673063107
143,0.029175076129156086,0.660487907115313,0.0039,0.025275076129156086
144,-0.021359768122066802,0.6463800385719007,0.0049,-0.026259768122066804
145,0.05706560666463181,0.6832661076089144,0.0042,0.05286560666463181
146,0.04892853684228614,0.7166973185281426,0.0043,0.04462853684228614
147,-0.011538802268138774,0.7084274898835411,0.0046999999999999,-0.016238802268138675
148,0.03170811959136292,0.7308903934545774,0.0044,0.027308119591362916
149,0.005808866516066094,0.7351360381880301,0.0038,0.0020088665160660937
150,-0.03840681141158,0.7069018070074864,0.0048,-0.04320681141158
