TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
AFCE,88940,73287210,2014-02-20,2017-03-27,1
AFFX,83616,00826T10,1996-08-15,2016-03-31,1
AFOP,88786,01868010,2001-01-18,2010-08-29,1
AFOP,88786,01868030,2010-09-16,2016-06-06,1
AFSI,91603,03235930,2006-11-16,2018-11-28,1
AGA,70308,00936310,1986-12-19,2016-05-20,1
AGCO,77520,00108410,1992-11-19,2023-12-29,1
AGE2,78223,00847410,1983-10-20,2023-12-29,1
AGEN,87583,03703210,2000-03-16,2011-01-05,1
AGEN,87583,00847G10,2011-02-17,2011-10-02,1
AGEN,87583,00847G70,2011-10-20,2023-12-29,1
AGN,75646,01849010,1989-07-27,2015-03-16,1
AHCW,92528,00128210,2008-02-14,2020-12-31,1
AHH,93369,00438V10,2010-05-20,2017-01-31,1
AHH,93369,74939710,2017-02-16,2022-06-21,1
AHH,93369,77634L10,2022-07-14,2023-12-29,1
AIG,66800,02687410,1976-01-15,2009-06-30,1
AIG,66800,02687478,2009-07-16,2023-12-29,1
AIMC,91658,02208R10,2007-01-18,2023-03-24,1
AIR1,86489,81616X10,1999-01-14,2017-10-31,1
AIR1,86489,83125X10,2017-11-16,2023-12-29,1
AIZI,90038,04621X10,2004-02-19,2023-12-29,1
AKAM,87299,00971T10,1999-12-16,2023-12-29,1
AKHN,,,2006-08-17,2007-12-19,6
AKHN,93149,98884U10,2009-11-10,2021-02-22,1
AKST,80303,00154710,1994-06-16,2020-03-12,1
ALB1,80191,01265310,1994-03-17,2023-12-29,1
ALBA,,,2005-03-17,2007-01-17,6
ALBA,91665,39060710,2007-01-18,2023-12-29,1
ALGG,91659,01748X10,2006-12-08,2023-12-29,1
ALGN,88860,01625510,2001-03-15,2023-12-29,1
ALHY,79790,02073220,2002-04-18,2003-05-20,1
ALHY,79790,29205210,2003-06-19,2011-12-13,1
ALHY,79790,29205220,2011-12-15,2015-12-22,1
ALHY,79790,29205230,2016-01-14,2018-03-19,1
ALJ,90779,02052010,2005-08-18,2017-06-30,1
ALKS,76736,01642T10,1991-10-17,2011-09-18,1
ALKS,76736,G0176710,2011-10-20,2023-12-29,1
ALL1,79323,02000210,1993-06-17,2023-12-29,1
ALLM,82292,01975410,1995-11-16,2005-11-30,1
ALLM,82292,41086710,2005-12-15,2023-12-29,1
ALMO,78950,01131110,1993-05-20,2023-12-29,1
ALNY,90178,02043Q10,2004-06-17,2023-12-29,1
ALTL,91604,M0854Q10,2006-12-14,2023-12-29,1
ALTR,75577,02144110,1988-03-31,2015-12-24,1
ALV,84656,05280010,1997-07-17,2023-12-29,1
ALXN,83111,01535110,1996-04-18,2021-07-20,1
AMCC,85522,03822W10,1998-01-15,2007-12-10,1
AMCC,85522,03822W40,2007-12-20,2017-01-26,1
AMER,77418,02364J10,1992-05-14,2001-01-11,1
AMER,77418,00184A10,2001-01-18,2003-10-15,1
AMER,77418,88731710,2003-10-16,2009-03-29,1
AMER,77418,88731730,2009-04-16,2018-06-14,1
AMES,90963,03071H10,2005-12-15,2023-12-29,1
AMG,85593,00825210,1998-01-15,2023-12-29,1
AMH1,76788,02649V10,1991-11-14,2006-01-31,1
AMH1,76788,42224510,2006-02-16,2017-01-10,1
AMH1,76788,88870R10,2017-01-19,2022-06-27,1
AMJK,86709,01242310,1999-03-18,2017-08-31,1
AMKR,86047,03165210,1998-06-18,2023-12-29,1
AMLI,93339,01625910,2010-05-20,2019-11-14,1
AMLI,93339,01625920,2019-12-19,2023-12-29,1
AMNB,86814,02774510,1999-04-23,2023-12-29,1
AMOO,81073,02358610,1995-03-16,2023-12-29,1
AMPW,90880,03076C10,2005-10-03,2023-12-29,1
AMSC,77175,03011110,1993-03-18,2015-03-24,1
AMSC,77175,03011120,2015-04-16,2023-12-29,1
AMSG,85676,03232P20,1997-12-18,1999-05-19,1
AMSG,85675,03232P10,1999-05-20,2001-07-12,1
AMSG,85675,03232P40,2001-07-19,2016-12-01,1
AMSG,85675,29414D10,2016-12-15,2018-10-10,1
AMT1,75853,03232910,1990-05-17,1998-08-31,1
AMT1,75853,23204610,1998-09-17,1999-09-30,1
AMT1,75853,98974P10,1999-10-14,2021-12-22,1
AMTD,84597,03072H10,1997-04-17,2002-09-09,1
AMTD,84597,03074K10,2002-10-17,2006-01-24,1
AMTD,84597,87236Y10,2006-02-16,2020-10-05,1
AMZN,84788,02313510,1997-06-19,2023-12-29,1
ANDE,83112,03416410,1996-05-16,2023-12-29,1
ANF,83976,00289620,1996-11-14,2023-12-29,1
ANGO,90179,03475V10,2004-07-15,2023-12-29,1
ANIK,79150,03525510,1997-05-15,2023-12-29,1
ANN,76671,03611510,1991-07-18,2011-03-15,1
ANN,76671,03562310,2011-03-17,2015-08-21,1
ANSR,86048,03691610,1998-07-16,2008-01-01,1
ANSR,86048,40460910,2008-01-17,2023-12-29,1
ANSS,83621,03662Q10,1996-08-15,2023-12-29,1
ANTE,79564,03664P10,1993-11-18,2001-08-05,1
ANTE,79564,04269Q10,2001-08-16,2013-04-15,1
ANTE,79564,04270V10,2013-04-18,2016-01-04,1
ANTE,79564,G0551A10,2016-01-14,2019-04-03,1
ANW,91655,Y0017S10,2006-12-14,2018-11-05,1
ANW,,,2018-11-15,2020-12-31,6
AOL,93091,00184X10,2009-12-17,2015-06-22,1
AOLS,93340,G6331P10,2010-05-20,2023-12-29,1
AOVG,93002,Y0486S10,2009-09-17,2016-01-31,1
AOVG,93002,Y0982710,2016-02-18,2018-04-04,1
AOVG,93002,11135F10,2018-04-19,2023-12-29,1
APAG,78231,03748910,2004-03-18,2009-07-15,1
APAG,78231,G0471F10,2009-08-20,2015-01-28,1
APC,70332,03251110,1986-10-02,2019-08-08,1
APEI,92428,02913V10,2007-11-15,2023-12-29,1
APH1,77118,03209420,1992-01-16,1997-05-19,1
APH1,84769,03209510,1997-06-19,2023-12-29,1
APIN,89977,G0538410,2004-01-15,2019-02-14,1
APNB,,,2003-02-20,2006-02-15,6
APNB,92213,04534610,2007-08-28,2011-07-28,1
APNB,92213,04534620,2011-08-18,2012-06-19,1
APNB,92213,04534630,2012-07-19,2012-12-19,1
APNB,92213,92262A10,2012-12-20,2016-03-30,1
APNB,92213,92262A20,2016-04-14,2016-12-11,1
APNB,92213,09074N10,2016-12-15,2017-10-18,1
APNB,92213,76729210,2017-10-19,2023-12-29,1
APOL,81138,03760410,1995-01-19,2017-02-01,1
ARCO,90037,00827310,2004-03-18,2007-07-31,1
ARCO,90037,43274810,2007-08-16,2023-12-29,1
ARCW,,,2003-07-17,2007-02-14,6
ARCW,91954,03878K20,2007-04-10,2012-08-07,1
ARCW,91954,00213H10,2012-08-16,2019-06-30,1
ARDM,83622,03850510,1996-07-18,2006-01-04,1
ARDM,83622,03850530,2006-01-19,2014-05-22,1
ARDM,83622,03850540,2014-06-19,2019-01-14,1
ARDM,,,2019-03-14,2020-12-31,6
AREX,92429,03834A10,2007-11-15,2019-11-11,1
AREX,,,2019-12-19,2022-12-31,6
ARGN,79248,03070L30,2000-04-20,2012-09-06,1
ARGN,79248,37253A10,2012-09-20,2023-12-29,1
ARIA,80918,04033A10,1995-01-19,2017-02-15,1
ARIC,91814,00439710,2007-02-15,2023-12-29,1
ARII,91075,02916P10,2006-02-16,2018-12-04,1
ARNA,88421,04004710,2000-09-14,2017-06-18,1
ARNA,88421,04004760,2017-07-20,2022-03-10,1
ARPC,90548,02926310,2005-02-17,2013-01-01,1
ARPC,90548,00191G10,2013-01-17,2023-12-29,1
ARUN,91888,04317610,2007-04-19,2015-05-18,1
ARWR,80069,04279710,2005-01-20,2011-11-16,1
ARWR,80069,04279720,2011-11-17,2016-04-06,1
ARWR,80069,04280A10,2016-04-14,2023-12-29,1
ASAL,15617,04853310,1987-08-20,1988-01-03,1
ASAL,15617,06590310,1988-01-14,1994-07-13,1
ASAL,15617,06590810,1994-08-18,1997-09-17,1
ASAL,15617,06590810,1997-09-18,2000-08-18,6
ASAL,83239,06590850,1997-09-18,2000-08-18,6
ASAL,83239,06590850,2000-08-19,2008-09-28,1
ASAL,83239,06590860,2008-10-16,2011-10-16,1
ASAL,83239,06590880,2011-10-20,2012-08-05,1
ASAL,83239,05540P10,2012-08-16,2012-11-15,1
ASCM,92777,04363210,2008-10-16,2019-07-11,1
ASD1,89002,01858110,2001-08-16,2023-12-29,1
ASF,84385,00709410,1997-03-20,2011-03-08,1
ASF,84385,45778Q10,2011-03-17,2023-12-29,1
ASFC,79796,04626510,1993-12-16,2017-09-29,1
ASFI,82552,04622010,2000-09-14,2016-05-10,1
ASGN,77917,68215910,1992-12-17,2018-04-01,1
ASGN,77917,00191U10,2018-04-19,2023-12-29,1
ASHC,81540,03071P10,1995-05-18,2001-08-29,1
ASHC,81540,03073E10,2001-10-18,2023-12-29,1
ASML,,,1995-06-15,1997-05-14,6
ASML,81472,N0705911,1997-05-15,2007-09-30,1
ASML,81472,N0705918,2007-10-18,2012-11-28,1
ASML,81472,N0705921,2014-02-20,2023-12-29,1
ASPS,92981,L0175J10,2010-01-14,2023-12-29,1
ASRD,90120,G0585R10,2004-05-20,2023-12-29,1
ASTM,84511,00253U10,1997-03-20,2010-02-17,1
ASTM,84511,00253U30,2010-03-18,2013-10-15,1
ASTM,84511,00253U40,2013-10-17,2014-11-24,1
ASTM,84511,92346J10,2014-12-18,2023-12-29,1
ASYS,65008,03233220,1990-06-14,1993-06-06,1
ASYS,65008,03233230,1993-07-15,1999-03-15,1
ASYS,65008,03233250,1999-03-18,2023-12-29,1
AT1,87432,00846U10,1999-12-16,2023-12-29,1
ATAN,,,1996-07-18,1997-03-19,6
ATAN,84820,55271X10,1997-05-14,2000-07-16,1
ATAN,84820,55271X20,2000-07-20,2005-10-31,1
ATAN,84820,48246210,2005-11-17,2010-03-30,1
ATAN,84820,88102D10,2010-04-15,2011-09-29,1
ATAN,84820,55278T10,2011-10-20,2017-07-13,1
ATAN,84820,G6063010,2017-11-16,2019-06-03,1
ATAN,84820,G7T96K10,2019-06-20,2019-12-31,1
ATCR,90856,04963C20,2005-08-18,2023-12-29,1
ATHI,89179,03674B10,2001-11-15,2004-11-30,1
ATHI,89179,94973V10,2004-12-16,2014-12-02,1
ATHI,89179,03675210,2014-12-18,2023-12-29,1
ATK,76477,01880410,1990-11-15,2015-02-09,1
ATK,76477,68557N10,2015-02-19,2018-06-06,1
ATL2,82157,04916410,1995-10-19,2003-09-05,1
ATL2,,,2003-09-18,2005-02-16,6
ATL2,91262,04916420,2006-05-31,2023-03-17,1
ATLO,,,2004-06-17,2004-08-18,6
ATLO,90470,03100110,2004-12-03,2021-03-12,1
ATML,76584,04951310,1991-05-16,2016-04-04,1
ATNH,92296,04685W10,2007-09-20,2019-02-11,1
ATNI,77090,04907910,1992-06-18,1997-12-30,1
ATNI,77090,04907920,1998-08-20,2016-06-20,1
